Match_ID,Match_Date,Venue,CityTown,StateProvince,Country
1549,23.04.2012,Joe Louis Arena,Detroit,Michigan,USA
1548,21.04.2012,Lotto Arena,Antwerpen,Belgium,Belgium
1547,20.04.2012,Palais Omnisports de Paris-Bercy,Paris,France,France
1546,19.04.2012,Zénith de Toulouse,Toulouse,France,France
1545,18.04.2012,Mediolanum,Mailand,Italy,Italy
1544,17.04.2012,Palalottomatica,Rome,Italy,Italy
1543,16.04.2012,The O2,London,England,England
1542,15.04.2012,Capital FM Arena,Nottingham,Nottinghamshire,England
1541,14.04.2012,o2 World,Berlin,Germany,Germany
1540,13.04.2012,Porsche Arena,Stuttgart,Baden-Württemberg,Germany
1539,12.04.2012,Ergo Arena,Danzig,Pommern,Poland
1538,11.04.2012,Luzhniki Small Sports Arena,Moscow,Russia,Russia
1537,09.04.2012,Verizon Center,Washington,District Of Columbia,USA
1536,03.04.2012,Amway Center,Orlando,Florida,USA
1535,01.04.2012,Sun Life Stadium,Miami Gardens,Florida,USA
1534,25.03.2012,Time Warner Cable Arena,Charlotte,North Carolina,USA
1533,24.03.2012,Coliseo De Puerto Rico Jose M. Agrelot,San Juan,Puerto Rico,USA
1532,23.03.2012,Lakeland Center,Lakeland,Florida,USA
1531,20.03.2012,Prudential Center,Newark,New Jersey,USA
1530,19.03.2012,Wells Fargo Center,Philadelphia,Pennsylvania,USA
1529,18.03.2012,Madison Square Garden,New York City,New York,USA
1528,17.03.2012,Dunkin' Donuts Center,Providence,Rhode Island,USA
1527,16.03.2012,Centre Bell,Montreal,Quebec,Canada
1526,12.03.2012,Quicken Loans Arena,Cleveland,Ohio,USA
1525,11.03.2012,First Niagara Center,Buffalo,New York,USA
1524,10.03.2012,John Labatt Centre,London,Ontario,Canada
1523,09.03.2012,Ricoh Coliseum,Toronto,Ontario,Canada
1522,05.03.2012,TD Garden,Boston,Massachusetts,USA
1521,04.03.2012,Bangor Auditorium,Bangor,Maine,USA
1520,03.03.2012,Scotiabank Place,Ottawa,Ontario,Canada
1519,02.03.2012,Ed Lumley Arena,Cornwall,Ontario,Canada
1518,27.02.2012,Rose Garden,Portland,Oregon,USA
1517,27.02.2012,Rose Garden,Portland,Oregon,USA
1516,24.02.2012,Staples Center,Los Angeles,California,USA
1515,20.02.2012,Target Center,Minneapolis,Minnesota,USA
1514,19.02.2012,Bradley Center,Milwaukee,Wisconsin,USA
1513,11.02.2012,International Tennis Complex,Abu Dhabi,Vereinigte Arabische Emirate,United Arab Emirates
1512,10.02.2012,International Tennis Complex,Abu Dhabi,Vereinigte Arabische Emirate,United Arab Emirates
1511,09.02.2012,International Tennis Complex,Abu Dhabi,Vereinigte Arabische Emirate,United Arab Emirates
1510,06.02.2012,Chesapeake Energy Arena,Oklahoma City,Oklahoma,USA
1509,05.02.2012,Kay Yeager Coliseum,Wichita Falls,Texas,USA
1508,04.02.2012,INTRUST Bank Arena,Wichita,Kansas,USA
1507,03.02.2012,Kansas Expocentre,Topeka,Kansas,USA
1506,30.01.2012,Sprint Center,Kansas City,Missouri,USA
1505,29.01.2012,Scottrade Center,St. Louis,Missouri,USA
1504,28.01.2012,Ford Center,Evansville,Indiana,USA
1503,23.01.2012,US Airways Center,Phoenix,Arizona,USA
1502,22.01.2012,NMSU Pan American Center,Las Cruces,New Mexico,USA
1501,16.01.2012,Honda Center,Anaheim,California,USA
1500,15.01.2012,Oracle Arena,Oakland,California,USA
1499,14.01.2012,Power Balance Pavilion,Sacramento,California,USA
1498,13.01.2012,Yakima Valley SunDome,Yakima,Washington,USA
1497,09.01.2012,American Bank Center,Corpus Christi,Texas,USA
1496,08.01.2012,Foster Communications Coliseum,San Angelo,Texas,USA
1495,07.01.2012,Oil Palace,Tyler,Texas,USA
1494,06.01.2012,Mississippi St. Fair Coliseum,Jackson,Mississippi,USA
1493,02.01.2012,FedExForum,Memphis,Tennessee,USA
1492,30.12.2011,XL Center,Hartford,Connecticut,USA
1491,29.12.2011,Verizon Center,Washington,District Of Columbia,USA
1490,28.12.2011,CONSOL Energy Center,Pittsburgh,Pennsylvania,USA
1489,27.12.2011,Madison Square Garden,New York City,New York,USA
1488,26.12.2011,Allstate Arena,Rosemont,Illinois,USA
1487,19.12.2011,Wells Fargo Center,Philadelphia,Pennsylvania,USA
1486,17.12.2011,Nassau Veterans Memorial Coliseum,Uniondale,New York,USA
1485,16.12.2011,Germain Arena,Fort Myers,Florida,USA
1484,12.12.2011,Norfolk Scope,Norfolk,Virginia,USA
1483,11.12.2011,Crown Coliseum,Fayetteville,North Carolina,USA
1482,10.12.2011,North Charleston Coliseum,North Charleston,South Carolina,USA
1481,05.12.2011,St. Pete Times Forum,Tampa,Florida,USA
1480,03.12.2011,BankAtlantic Center,Sunrise,Florida,USA
1479,01.12.2011,Yokohama Arena,Yokohama,Kanagawa,Japan
1478,30.11.2011,Yokohama Arena,Yokohama,Kanagawa,Japan
1477,28.11.2011,Colonial Life Arena,Columbia,South Carolina,USA
1476,21.11.2011,GIANT Center,Hershey,Pennsylvania,USA
1475,20.11.2011,Madison Square Garden,New York City,New York,USA
1474,14.11.2011,TD Garden,Boston,Massachusetts,USA
1473,12.11.2011,Butlins Arena,Minehead,Somerset,England
1472,11.11.2011,O2 Arena,London,England,England
1471,10.11.2011,Braehead Arena,Glasgow,Scotland,Scotland
1470,09.11.2011,Capital FM Arena,Nottingham,Nottinghamshire,England
1469,08.11.2011,Metro Radio Arena,Newcastle Upon Tyne,Tyne And Wear,England
1468,07.11.2011,Echo Arena,Liverpool,Merseyside,England
1467,07.11.2011,Echo Arena,Liverpool,Merseyside,England
1466,06.11.2011,Motorpoint Arena Sheffield,Sheffield,South Yorkshire,England
1465,05.11.2011,Manchester Evening News Arena,Manchester,England,England
1464,04.11.2011,Le Galaxie,Amneville,France,France
1463,03.11.2011,Zénith Nantes,Nantes,France,France
1462,02.11.2011,O2 Arena,Dublin,Ireland,Ireland
1461,31.10.2011,Philips Arena,Atlanta,Georgia,USA
1460,31.10.2011,Philips Arena,Atlanta,Georgia,USA
1459,25.10.2011,Toyota Center,Houston,Texas,USA
1458,25.10.2011,Toyota Center,Houston,Texas,USA
1457,24.10.2011,Frank Erwin Center,Austin,Texas,USA
